,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,384.5083,384.8871,0.47523,46.8073,17.7802,0.00017759,10.393,-0.17074,-1.0163
1,Statistics,Variance,stat_var,ECT3,5645.3246,4828.9549,17.3368,374.8845,198.1035,0.028966,92.2831,282.1461,1386.3305
2,Statistics,Skewness,stat_skew,KE2A,1.1252,1.0302,-0.52648,1.246,2.1847,0.026518,2.9048,0.024606,0.24455
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,2.1447,1.7037,1.4442,2.9474,8.4361,4.5128,21.1454,3.7633,1.9668
4,Statistics,Median,stat_median,Y12H,369.9027,371.6986,0.81595,43.8508,14.1449,7.2318e-05,8.2095,-0.11953,-1.5218
5,Statistics,Minimum,stat_min,1GSF,197.5974,216.0133,-36.2768,11.6397,0.014627,-2.1994,-21.6078,-152.2015,-214.1469
6,Statistics,10th percentile,stat_p10,QG58,304.1634,309.6059,-4.8427,25.0047,4.7574,-0.19058,1.6572,-19.1221,-44.8815
7,Statistics,90th percentile,stat_p90,8DWT,487.0354,480.804,5.2904,71.0115,34.9604,0.19139,21.5257,18.7188,43.1024
8,Statistics,Maximum,stat_max,84IY,1154.1188,1067.4285,16.7493,208.6763,209.412,1.9521,208.0378,179.8505,308.0043
9,Statistics,Interquartile range,stat_iqr,SALO,91.5192,86.0348,4.9394,23.3483,14.8971,0.18475,9.7131,17.3713,41.3903
10,Statistics,Range,stat_range,2OJQ,956.5213,851.4151,53.0261,197.0366,209.3973,4.1515,229.6456,332.052,522.1512
11,Statistics,Mean absolute deviation,stat_mad,4FUA,57.8657,53.9224,3.1729,14.6856,10.1047,0.12333,6.6733,12.0448,27.6053
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,38.7071,36.377,2.0891,9.7901,6.3484,0.07794,4.1497,7.4175,17.5836
13,Statistics,Median absolute deviation,stat_medad,N72L,56.6116,52.832,3.1601,14.4836,9.6506,0.12333,6.4189,12.0447,27.6018
14,Statistics,Coefficient of variation,stat_cov,7TET,0.19541,0.18055,8.7615,0.41365,0.79161,958.3698,0.92431,-98.3787,-36.6346
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.1212,0.11354,3.9611,0.25955,0.47515,-3204.7415,0.53096,-58.1647,-12.8666
16,Statistics,Energy,stat_energy,N8CA,97133229534.798,96801042346.0598,11114076.066,1623701580.3251,325421435.7442,18330.2933,126753187.6026,178567017.0159,877955490.2224
17,Statistics,Root mean square,stat_rms,5ZWQ,391.7805,391.11,4.1908,50.6538,22.6768,0.17019,14.1527,16.7981,37.2473
