,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,35.0218,35.1991,1.5534,51.2473,166.0707,-0.002783,10.2915,0.22273,4.0399
1,Statistics,Variance,stat_var,ECT3,553.6108,192.5211,23.4666,918.3039,9892.2153,1.2078,37.208,336.7175,1318.4194
2,Statistics,Skewness,stat_skew,KE2A,-0.074882,1.8662,3.5668,4.1049,1.0137,-0.21422,0.9505,-0.093918,-0.74352
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,0.55129,32.4028,12.5827,19.2891,1.7374,8.4422,2.9188,6.3118,13.7948
4,Statistics,Median,stat_median,Y12H,35,34.9259,0.14677,44.0966,149.6661,-0.0057445,9.6295,-0.037205,0.38376
5,Statistics,Minimum,stat_min,1GSF,-99,-58.3333,-5.036,27.1277,0.33993,-10.4973,-9.8893,-225.9027,-345.6232
6,Statistics,10th percentile,stat_p10,QG58,5,19.7037,-0.5659,34.6338,53.3067,-1.2026,3.2691,-20.9227,-25.095
7,Statistics,90th percentile,stat_p90,8DWT,64,51.037,4.0409,61.5824,299.1861,1.2136,18.0167,21.2108,42.1246
8,Statistics,Maximum,stat_max,84IY,196,393.1482,31.1869,358.5506,1067.8947,11.2823,87.2035,127.9056,151.7141
9,Statistics,Interquartile range,stat_iqr,SALO,30,16.2593,0.8429,10.5714,133.5598,1.2319,7.6534,21.5008,23.5019
10,Statistics,Range,stat_range,2OJQ,295,451.4815,36.2228,331.4229,1067.5547,21.7796,97.0928,353.8083,497.3372
11,Statistics,Mean absolute deviation,stat_mad,4FUA,18.4189,10.0686,2.6119,15.1896,78.6424,0.78953,4.6937,13.5806,21.6289
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,12.7627,6.7399,0.46038,4.5197,55.2696,0.51363,3.181,8.9436,10.4339
13,Statistics,Median absolute deviation,stat_medad,N72L,18.4187,10.0663,1.8681,12.8294,77.599,0.78953,4.6622,13.5789,21.3064
14,Statistics,Coefficient of variation,stat_cov,7TET,0.67184,0.39419,3.1184,0.59132,0.5989,-394.8978,0.5927,82.3853,8.9879
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.42857,0.2324,2.1735,0.11923,0.4244,-253.7495,0.38613,-532.1508,32.3638
16,Statistics,Energy,stat_energy,N8CA,350613344,281945699.375,5097253.3027,698139694.0884,7380384633.3085,237894.8118,28189461.4069,66329311.4041,262889096.3802
17,Statistics,Root mean square,stat_rms,5ZWQ,42.1916,37.8351,5.0872,59.5365,193.576,1.099,11.9634,18.3512,36.5341
