,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,267.3209,268.2245,1.8458,44.9831,60.0696,-0.0022687,4.0798,-0.050737,-1.0261
1,Statistics,Variance,stat_var,ECT3,10541.2667,10034.5698,25.3423,769.6179,3888.1503,1.0466,29.4817,248.7947,898.5243
2,Statistics,Skewness,stat_skew,KE2A,2.9381,2.9193,0.92832,2.3517,4.3478,0.048519,11.8795,-0.36249,-0.40644
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,12.0475,11.9106,2.7175,7.5667,28.9441,10.9472,405.6236,11.3415,4.9728
4,Statistics,Median,stat_median,Y12H,239.0717,240.313,1.1826,36.3788,44.5654,-0.0024463,2.6912,-0.013206,0.046721
5,Statistics,Minimum,stat_min,1GSF,124.415,138.0808,-18.6454,13.7729,0.075718,-13.8169,-6.4157,-276.3333,-244.5206
6,Statistics,10th percentile,stat_p10,QG58,187.879,189.9667,-2.9078,22.3197,15.8552,-1.0781,0.90997,-15.0478,-32.1496
7,Statistics,90th percentile,stat_p90,8DWT,386.0161,385.0147,8.0501,77.5739,112.1351,1.081,8.3476,15.0681,29.3291
8,Statistics,Maximum,stat_max,84IY,1076.7208,1041.0225,24.8133,278.8886,899.4507,17.4584,391.2335,217.8039,333.0108
9,Statistics,Interquartile range,stat_iqr,SALO,72.2372,71.132,3.3623,26.002,44.1303,1.0349,3.1594,13.5444,26.242
10,Statistics,Range,stat_range,2OJQ,952.3058,902.9417,43.4587,265.1157,899.375,31.2753,397.6492,494.1372,577.5314
11,Statistics,Mean absolute deviation,stat_mad,4FUA,66.1321,64.8348,3.313,19.3137,36.5477,0.71052,2.853,10.267,20.203
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,33.5137,32.9246,1.6127,11.2934,19.1649,0.43813,1.4217,5.802,11.432
13,Statistics,Median absolute deviation,stat_medad,N72L,59.8077,58.4202,3.2361,17.9645,33.8208,0.71052,2.5569,10.2669,20.178
14,Statistics,Coefficient of variation,stat_cov,7TET,0.38407,0.37347,2.7274,0.61672,1.038,-450.9249,1.3309,-310.8852,-29.2141
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.14733,0.1439,1.2334,0.32588,0.45195,-709.4115,0.50176,-3080.4503,-196.223
16,Statistics,Energy,stat_energy,N8CA,34771929185.4219,34762274425.2961,12190805.4569,1184383203.3997,3178810351.9323,443782.4694,19559497.3541,105499741.7646,381455793.0392
17,Statistics,Root mean square,stat_rms,5ZWQ,286.3594,286.3197,5.3618,52.8498,86.5824,1.023,6.7917,15.7733,29.993
