,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,425.1024,425.8239,1.4755,43.4397,67.1889,-0.00038066,8.334,0.16902,-1.5888
1,Statistics,Variance,stat_var,ECT3,3056.9251,2744.2043,15.352,1206.9535,9230.1879,1.8117,103.3745,277.2186,1180.8808
2,Statistics,Skewness,stat_skew,KE2A,2.7771,2.6553,0.73344,2.979,8.6144,-0.073426,4.3771,-0.17718,-1.8612
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,20.0041,17.7297,7.0986,11.6998,109.5586,30.0468,29.8896,18.8068,11.1219
4,Statistics,Median,stat_median,Y12H,424.6316,425.6319,0.37689,32.3128,47.1924,0.0016245,5.4266,0.054557,0.37264
5,Statistics,Minimum,stat_min,1GSF,156.8566,264.3977,-35.6745,13.0948,0.032214,-28.11,-11.7382,-227.681,-320.8655
6,Statistics,10th percentile,stat_p10,QG58,368.0071,370.8589,-1.0682,18.8625,17.0769,-1.2755,1.8183,-13.6239,-28.414
7,Statistics,90th percentile,stat_p90,8DWT,469.5957,467.0942,6.825,82.3569,117.4464,1.2739,17.1935,14.0185,29.3301
8,Statistics,Maximum,stat_max,84IY,1133.5708,1109.9331,21.4956,359.3346,2409.6275,28.0678,195.7837,236.812,222.5014
9,Statistics,Interquartile range,stat_iqr,SALO,48.9723,46.2534,2.3666,24.885,46.3818,1.2035,6.0922,12.4521,22.7884
10,Statistics,Range,stat_range,2OJQ,976.7142,845.5354,57.1701,346.2398,2409.5953,56.1778,207.5218,464.493,543.3669
11,Statistics,Mean absolute deviation,stat_mad,4FUA,34.8187,33.0159,2.5643,22.5898,43.3336,0.86307,5.9164,9.9429,20.5461
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,20.6531,19.4782,1.264,11.5929,20.1007,0.51075,2.797,5.3368,10.114
13,Statistics,Median absolute deviation,stat_medad,N72L,34.8161,33.0154,2.298,19.9495,39.1231,0.86307,5.2488,9.9423,20.4501
14,Statistics,Coefficient of variation,stat_cov,7TET,0.13006,0.12302,2.6555,0.79976,1.4299,-3535.9928,1.22,98.5085,-21.6289
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.057997,0.054694,1.4226,0.35013,0.44599,543.9646,0.48459,97.6799,155.195
16,Statistics,Energy,stat_energy,N8CA,136274595739.3098,136498005377.8723,12998721.3247,2294340831.7864,10192311271.1394,1343489.2785,128163284.5484,205593723.628,877558750.0393
17,Statistics,Root mean square,stat_rms,5ZWQ,428.6828,429.0341,4.1868,55.6234,117.2371,1.346,13.1465,16.6507,34.4007
