,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,333.1396,333.6186,0.8799,55.8088,13.8827,0.00018313,25.2621,-0.001965,-1.193
1,Statistics,Variance,stat_var,ECT3,11633.1963,10452.0438,31.0236,2299.0537,274.7191,0.059763,836.9037,658.9381,2104.0384
2,Statistics,Skewness,stat_skew,KE2A,2.9667,2.8613,-0.78787,1.1675,3.1595,-0.0909,2.1623,0.024451,-0.012052
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,9.745,9.0365,4.2827,0.41824,16.3759,9.6872,6.2092,10.3877,5.3651
4,Statistics,Median,stat_median,Y12H,299.279,300.0332,0.74408,33.4316,7.7187,9.3527e-05,13.6999,-0.0085616,0.28303
5,Statistics,Minimum,stat_min,1GSF,73.1006,118.494,-34.8047,9.7908,0.015469,-4.6366,-50.4338,-274.3667,-297.8708
6,Statistics,10th percentile,stat_p10,QG58,266.3632,269.1712,-4.4828,14.6967,2.3482,-0.23243,3.1036,-20.1766,-49.0187
7,Statistics,90th percentile,stat_p90,8DWT,451.0352,452.3864,7.1823,132.3755,33.3762,0.23314,64.1031,20.9585,39.063
8,Statistics,Maximum,stat_max,84IY,1125.6233,1046.86,30.5112,269.1197,295.2742,3.214,321.1359,313.6558,330.7862
9,Statistics,Interquartile range,stat_iqr,SALO,43.5816,42.782,3.4045,66.9001,13.1164,0.19637,27.9866,13.3076,26.3249
10,Statistics,Range,stat_range,2OJQ,1052.5227,928.366,65.316,259.3289,295.2588,7.8506,371.5696,588.0226,628.657
11,Statistics,Mean absolute deviation,stat_mad,4FUA,66.471,64.5523,3.4633,39.6663,11.0965,0.15757,21.0443,14.4813,27.8583
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,24.7398,25.1832,1.6559,29.0802,6.0831,0.085643,12.7374,6.221,12.7821
13,Statistics,Median absolute deviation,stat_medad,N72L,54.5008,52.6231,3.4597,36.6094,9.7192,0.15757,18.8896,14.4813,27.805
14,Statistics,Coefficient of variation,stat_cov,7TET,0.32376,0.30644,6.3301,0.85916,1.1939,1334.9466,1.1452,-13063.4471,-38.4492
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.071851,0.07012,1.469,0.64962,0.61379,653.52,0.6827,398.8129,41.1898
16,Statistics,Energy,stat_energy,N8CA,42180484416.529,41884023755.2184,10938666.939,1862343446.0369,160805539.8678,20559.0203,507436601.9574,226679327.4719,724293527.1771
17,Statistics,Root mean square,stat_rms,5ZWQ,350.1645,348.9318,5.639,73.5777,21.6206,0.24447,38.4067,25.6698,45.8853
