,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,352.1634,352.9454,1.9957,42.6793,17.1712,0.00051459,4.3753,0.040424,-0.11676
1,Statistics,Variance,stat_var,ECT3,15612.5153,14690.5801,22.9388,1440.7609,333.3081,0.15015,26.1128,370.9058,1187.6957
2,Statistics,Skewness,stat_skew,KE2A,3.0074,2.9465,0.20058,1.6781,3.4515,-0.078178,2.7358,0.088914,-0.083037
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,9.1034,8.6411,4.2398,2.5491,18.552,14.2774,10.6016,13.2369,6.6165
4,Statistics,Median,stat_median,Y12H,313.0275,313.7391,0.84077,25.3131,11.6734,6.2761e-05,2.4767,-0.028276,0.056495
5,Statistics,Minimum,stat_min,1GSF,84.1109,148.7547,-36.063,9.0556,0.0041242,-5.1014,-7.6713,-209.8468,-226.8113
6,Statistics,10th percentile,stat_p10,QG58,281.7619,284.1292,-1.1716,13.2593,4.0043,-0.30155,0.74236,-13.8371,-29.7475
7,Statistics,90th percentile,stat_p90,8DWT,469.164,475.0493,8.5955,101.4898,35.961,0.30398,10.594,14.355,32.4872
8,Statistics,Maximum,stat_max,84IY,1132.3448,1072.9033,24.2759,322.1881,263.6683,6.0796,65.8158,220.4401,288.8382
9,Statistics,Interquartile range,stat_iqr,SALO,43.2393,42.3797,3.7433,40.8544,13.219,0.24276,4.151,10.6731,21.611
10,Statistics,Range,stat_range,2OJQ,1048.2339,924.1486,60.3389,313.1325,263.6642,11.181,73.4871,430.2869,515.6494
11,Statistics,Mean absolute deviation,stat_mad,4FUA,74.2147,73.1053,3.278,29.2961,11.5411,0.22374,3.4871,10.6817,20.9201
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,23.3096,23.5515,1.8095,18.9286,5.9935,0.10669,1.929,4.7622,9.9608
13,Statistics,Median absolute deviation,stat_medad,N72L,59.3971,58.1714,3.0683,25.9158,10.4076,0.22374,3.0778,10.6815,20.9192
14,Statistics,Coefficient of variation,stat_cov,7TET,0.35481,0.34341,2.3998,0.88936,1.0632,753.0125,1.1679,476.4202,-295.1708
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.068118,0.066535,1.1335,0.55773,0.48987,-1691.1875,0.61504,-206.1232,53.6641
16,Statistics,Energy,stat_energy,N8CA,76001869130.8961,75800188205.9816,14653616.7345,1775671219.8139,341907808.9494,81729.1183,24633054.672,201886051.1997,646473759.0743
17,Statistics,Root mean square,stat_rms,5ZWQ,373.673,373.1769,5.1886,57.1164,25.0631,0.3875,6.7273,19.259,34.4632
