,family,feature_name,feature_tag,ibsi_identifier,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
0,Statistics,Mean,stat_mean,Q4LE,24.8755,24.8791,-0.01084,31.0756,94.4978,-3.3398e-05,9.1113,-0.023803,-0.039901
1,Statistics,Variance,stat_var,ECT3,216.8635,63.459,0.14079,29.2887,4018.3005,0.71937,27.661,91.1183,33.9238
2,Statistics,Skewness,stat_skew,KE2A,-0.24801,-1.3156,0.48366,0.97774,1.381,-0.0060721,0.6555,0.0041879,0.083696
3,Statistics,(Excess) kurtosis,stat_kurt,IPH6,1.2841,7.3951,7.5796,1.4122,2.8456,0.29964,0.88153,0.38216,2.7854
4,Statistics,Median,stat_median,Y12H,25,25.1481,-0.0011953,30.1966,80.1261,-0.00056983,8.5621,-0.044519,-0.081822
5,Statistics,Minimum,stat_min,1GSF,-109,-74.1481,-2.5888,20.012,0.049126,-4.0902,-10.5142,-50.2321,-73.0121
6,Statistics,10th percentile,stat_p10,QG58,7,16.4444,-0.41358,25.0191,28.4225,-1.0671,2.9171,-11.9751,-6.9649
7,Statistics,90th percentile,stat_p90,8DWT,43,33.8518,0.36275,38.5387,179.7648,1.0712,16.0276,11.9835,6.859
8,Statistics,Maximum,stat_max,84IY,101,65.8519,4.6556,67.5095,593.9008,3.9918,50.9282,50.362,53.6921
9,Statistics,Interquartile range,stat_iqr,SALO,18,9.037,0.38048,6.9645,77.3733,1.1066,6.7748,12.4313,7.0453
10,Statistics,Range,stat_range,2OJQ,210,140.0,7.2444,47.4975,593.8517,8.082,61.4425,100.594,126.7042
11,Statistics,Mean absolute deviation,stat_mad,4FUA,11.3927,5.7436,0.26052,4.2395,48.567,0.66805,4.1222,7.5083,4.4141
12,Statistics,Robust mean absolute deviation,stat_rmad,1128,7.8725,3.7544,0.16002,2.9236,32.5907,0.45978,2.8292,5.1648,2.9419
13,Statistics,Median absolute deviation,stat_medad,N72L,11.389,5.739,0.26039,4.1812,47.1763,0.66805,4.0984,7.5083,4.4139
14,Statistics,Coefficient of variation,stat_cov,7TET,0.592,0.32019,-34.6142,0.17415,0.67081,-25394.9805,0.57724,-401.0198,-145.9703
15,Statistics,Quartile coefficient of dispersion,stat_qcod,9S40,0.36,0.17941,-31.8053,0.11387,0.44431,2008.4451,0.38425,-255.7617,-47.2982
16,Statistics,Energy,stat_energy,N8CA,508539072,415293849.8795,85749.4471,605499087.2393,7879609765.9599,437771.09,67352442.8177,55450551.0097,20645372.816
17,Statistics,Root mean square,stat_rms,5ZWQ,28.9077,26.1234,0.37538,31.5434,113.7898,0.84815,10.5203,9.5456,5.8246
